Nr DIEx DA MISSÃO	EVENTO OU MISSÃO	PRAZO	DIAS PARA O EVENTO	MILITAR RESPONSÁVEL	SITUAÇÃO	CLASSE	DATA DA ÚLTIMA ATUALIZAÇÃO COM O E-4	ANOTAÇÕES	Nr DIEx ENCAMINHAMENTO PARA OMDS	Nr DIEx PARA O ESC SUPERIOR
3867-E-4/EMG/Cmdo Bda Inf Amv	Classe V - munição - calendário de obrigações - Abr	8 mai.	-69	ST Richardson	CALENDÁRIO DE OBRIGAÇÕES	Cl V		"- Cia Cmdo ok
- 1º Esqd C Amv Ok
- 22º B Log ok
- 12 Cia Com Ok
- 5º BI Ok
- 6º BI ok
- 2º BI ok
- 12º pel PE ok
- Cia Prec - Ok
- 20º GAC AMV – OK
- 12ª Cia Eng Cmb - FLTA
- 5ª Bia A Ae Amv - Ok"	-	"4814-E-4/EMG/Cmdo Bda Inf Amv

4891-E-4/EMG/Cmdo Bda Inf Amv"
493-E3/E5/2ª DE	Cl VI - Estágios Setoriais sobre Manutenção de Material de Engenharia no Centro de Instrução de Engenharia/2º Batalhão Ferroviário (CI Eng/2º B Fv)/2026	8 mai.	-69	ST Valter	ACOMPANHAR	PREPARO F TER		- Término do Presencial Estágio de Manutenção e Operação de Motor de Popa (EMOMP)		1157-E-4/EMG/Cmdo Bda Inf Amv
"136-Escalão Logístico/2ªRM
1728-Escalão Logístico/2ªRM
488-E4/2ª DE
 
6235-Escalão Logístico/2ªRM"	Término do Cadastramento PDR Log 27	8 mai.	-69	Maj Filipe	ACOMPANHAR	Orçamentário		1. Atlz pelo DIEx  6235-Escalão Logístico/2ªRM		3137-E-4/EMG/Cmdo Bda Inf Amv
7253-SRAM/EscSaúde/2ªRM	CENTRAL DE REGULAÇÃO REGIONAL - PACIENTE - HAMILTON DA SILVA VIANA	8 mai.	-69	ST Valter	ACOMPANHAR	Trnp		1. Confeccionar Doc à Cia Cmdo, 6º BI e 5º BI para Coor o envio do mínimo de Vtr necessárias		3564-E-4/EMG/Cmdo Bda Inf Amv
3772-E-4/EMG/Cmdo Bda Inf Amv	Inspeção Anual de Uniformes do Exército (IAUEX)/2026(solicita)	8 mai.	-69	Maj Filipe	ACOMPANHAR	Cl II		Sol de Vtr para Inspe IAUEx		
 2037-E4/2ª DE	exposição de material para visita da delegação do Curso de Estado-Maior da EscolaSuperior de Guerra da Colômbia	10 mai.	-67	Ten Glauco	RESOLVIDO	PREPARO F TER		"1. Apenas a 2 Cia Prec irá Rlz a exposição dem materiais
2. Sol que a Eqp esteja pronta até as 18 Hs do dia 10 na Ba Adm Ibirapuera - "	3963-E-4/EMG/Cmdo Bda Inf Amv	-
3725-Seç Plj /EMG/Cmdo Bda Inf Amv	Encaminhamento de Ordem de Instrução nº 16/E3 Bda Inf Amv– Exercício de SimulaçãoConstrutiva 2026	11 mai.	-66	Maj Filipe	ACOMPANHAR	PREPARO F TER		"E4
- Participar do Exercício na 4ª Seção.
- Coordenar os meios de transporte, com o E4/2ª DE (SFC), para o Dslc de ida e volta dos participantes no Anexo A, para o CA-LESTE (partindo de SÃO VICENTE-SP com destino ao RIO DE JANEIRO-RJ).
- Coordenar os meios de hospedagem para os Controladores/operadores que deslocar-se-ão para o CA-LESTE (efetivo de 21 militares).
- Coordenar os meios de hospedagem para os militares de fora da Gu CAÇAPAVA que participarão das Atv no CITE (Aloj no Forte IPIRANGA).
- Orientar o emprego da Cozinha de Campanha ARPA para a confecção das refeições no CITE.
-Escalar uma Eqp APH devidamente equipada (ambulância operacional ou administrativa, a ser definido) para prover o Ap Saúde no Exercício.
- Ficar ECD coordenar a transferência de combustível, conforme a necessidade de deslocamento do participantes externos à Gu CAÇAPAVA.
- Fiscalizar a reserva de um quarto do HT CAÇAPAVA para Oficial General do COTER e de um quarto no HT TAUBATÉ para o Cmt 2ª DE.
- Coordenar a reserva de 2 (duas) Vtr Operacional para o período da Atv, sendo uma para o pessoal da DIREx e uma para Oficial General."		
3440-E-3/EMG/Cmdo Bda Inf Amv	Ordem de Instrução Nr 15 – E3/ Bda Inf Amv - Exercício Tático com Tiro Real de Pelotão - ETTR Pel (REMESSA)	11 mai.	-66	Ten Glauco	ACOMPANHAR	PREPARO F TER		"1. Sol Nr 1 Mun (Mrt 60, 81 + 5,56mm +7,62mm) - 3543-E-4/EMG/Cmdo Bda Inf Amv

2. Sol Nr 2 Mun (Carl Gustaf) - 3781-E-4/EMG/Cmdo Bda Inf Amv

3. 2. Sol Nr 3 Mun (Granada de Mão) - 4130-E-4/EMG/Cmdo Bda Inf Amv"		"1906-E4/2ª DE

7751-Escalão Logístico/2ªRM (apenas 5,56 e 5,56 elada)

2001-E4/2ª DE (Carl Gustaf)

2121-E4/2ª DE (Granada de Mão"
3440-E-3/EMG/Cmdo Bda Inf Amv	Ordem de Instrução Nr 15 – E3/ Bda Inf Amv - Exercício Tático com Tiro Real de Pelotão - ETTR Pel (REMESSA)	11 mai.	-66	ST Richardson	ACOMPANHAR	Cl V		"1. Sol de Vtr Amb UTI - 3778-E-4/EMG/Cmdo Bda Inf Amv

2. Sol de Vtr prancha para o 2º BE Cmb (NÃO PRECISOU) - 3888-E-4/EMG/Cmdo Bda Inf Amv

3. Sol de Ap para a AMAN - 4021-E-4/EMG/Cmdo Bda Inf Amv

4. Sol de Vtr prancha para a AvEx - 4053-E-4/EMG/Cmdo Bda Inf Amv"		"1997-E4/2ª DE (Vtr UTI)

8922-Escalão Logístico/2ªRM (Vtr UTI)"
690-E4/2ª DE	Cl IX - Plano de Apoio Direto 2026	11 mai.	-66	ST Valter	ACOMPANHAR	Mnt		- Ap Dto do 2º B Log Mec à 12ª Cia E Cmb Amv		1504-E-4/EMG/Cmdo Bda Inf Amv
2130-E4/2ª DE	alteração de prazos do PDR Log 2027	12 mai.	-65	Ten Glauco	RESOLVIDO	-		Divulgado por Wpp	-	-
741-E4/2ª DE	Programa de Auditorias em Segurança dos Alimentos (PASA) - calendário de auditorias2026	12 mai.	-65	Ten Glauco	ACOMPANHAR	Cl I		- Insp 22º B Log Amv		1436-E-4/EMG/Cmdo Bda Inf Amv
7948-InspSaude/2ªRM	controle e prazo de empenho PAASSEx 2025/2026	13 maio	-64	ST Richardson	RESOLVIDO	Cl VIII - Sau		 solicito o preenchimento e envio da tabela anexa (controle do PAASSEx2025/2026 - de forma editável) até 13 MAI 26, contendo informações sobre o recurso, o material empenhado e a de data do empenho, a fim de aprimorar o acompanhamento da execução orçamentária por esta Região Militar	3751-E-4/EMG/Cmdo Bda Inf Amv	4327-E-1/EMG/Cmdo Bda Inf Amv
2238-2ª Cia Prec	apoio ao aniversário da 2ª Cia Prec (SOLICITA)	13 maio	-64	Ten Glauco	RESOLVIDO	PREPARO F TER		"1. Verificar se as OMDS irão Ap
2. Encaminhado à Ba Adm"	-	-
7789-S4/CC/AMAN	Apoio de Ambulância para o C Com AMAN	13 maio	-64	ST Valter	RESOLVIDO	Trnp		"1. 5º BI Amv Ap 13 e 14
2. 1º Esqd C Amv Ap 15 e 16"	4020-E-4/EMG/Cmdo Bda Inf Amv	4020-E-4/EMG/Cmdo Bda Inf Amv
4033-Seç Tir Mun/DIM/Ch Prep F Ter	apoio de viatura - TC Nava	13 maio	-64	ST Valter	RESOLVIDO	Trnp		"1. Confeccionar Doc à Cia Cmdo para buscar o TC Nava no aeroporto de Guarulhos e para as demais Atv
2. Para o ETTR ele poderá Rlz o Dslc junto com o 5º BI Amv"	3575-E-4/EMG/Cmdo Bda Inf Amv	-
DIEx nº 856	solicitação de indenização de transporte de bagagem na mesma sede	13 mai.	-64	Ten Glauco	ACOMPANHAR	Orçamentário		Solicitação do pagamento de indenização de transporte de bagagem na mesma sede do Cap Barcelos - 2º BI Amv		DIEx aguardando assinatura do Ch EM 
376-4ª Sec/5ª Bia AAAe AMV	TREM do Quadripé do Radar SABER M60 2.0 (0055)	13 mai.	-64	ST Richardson	ACOMPANHAR	Cl V		Remessa a Chefia de Material da documentação do MÓDULO INTEGRADO DO QUADRIPÉ DO RADAR M60, NR SÉRIE 005. (5ª Bia AAAe)		
2750-Asse Gestão/Cmdo Bda Inf Amv/Bda Inf Amv	Plano Anual de Capacitação em Gestão Organizacional e Gestão de Riscos - 2026	14 mai.	-63	Ten Glauco	RESOLVIDO	-		1. Designar pelo menos 1(um) militar da Seção para participar (operador do GPEX) - Capacitação transferida para o dia 14 MAIO.	-	Ten Glauco
2120-E4/2ª DE	PDR Log 2027 - registro de necessidades	14 mai.	-63	Ten Glauco	RESOLVIDO	Orçamentário		"Registrar as necessidades cadastradas referente ao Plano de Descentralização de Recursos Logísticos 2027 (PDR Log), em tabela excell editável, e encaminhar a esta Região Militar, até 14 MAIO 26.

- 5ª Bia (DIEx nº375-4ª Sec/5ª Bia AAAe AMV - 2ª Cia Prec (DIEx nº 375-4ª Sec/5ª Bia AAAe AMV)

- Cia C - 1º Esqd C - 12ª Cia Com  - 12ª Cia E Cmb
"	4228-E-4/EMG/Cmdo Bda Inf Amv	"4345-E-4/EMG/Cmdo Bda Inf Amv

4388-E-4/EMG/Cmdo Bda Inf Amv

4479-E-4/EMG/Cmdo Bda Inf Amv

4539-E-4/EMG/Cmdo Bda Inf Amv

4602-E-4/EMG/Cmdo Bda Inf Amv

2318-E4/2ª DE

4704-E-4/EMG/Cmdo Bda Inf Amv"
908-COL/22º B Log Amv	Calendário de Capacitações na Função Logística Manutenção para 2026	14 mai.	-63	Maj Filipe	RESOLVIDO	-		O 22º B Log Amv fará capacitações e encaminhou OS regulando datas e demais informações sobre o assunto (DIEx Circurlar) 	-	-
2108-E10/2ª DE	previsão de distribuição de recursos para deslocamentos a serviço em 2026 - AO 2000 (Diárias e Passagens)	14 mai.	-63	Ten Glauco	ACOMPANHAR	Orçamentário				
741-E4/2ª DE	Programa de Auditorias em Segurança dos Alimentos (PASA) - calendário de auditorias2026	14 mai.	-63	Ten Glauco	ACOMPANHAR	Cl I		- Insp 20º GAC Amv		1436-E-4/EMG/Cmdo Bda Inf Amv
2187-E4/2ª DE	MEM Cl IX (Moto) - transferência de viatura Ambulância Operacional SR da 12ª CiaECmb L (Amv) para o 5º BIL (Amv) - resposta	14 mai.	-63	ST Valter	ACOMPANHAR	Cl IX		ansferência da VTE AMBULÂNCIA SRHILUX CS 03PSG 4X4 TOYOTA 2014,EB3413298597, chassi 8AJDY22G1F7006341, pertencente à 12ª Cia E Cmb Amv, para o 5º BIAmv.		
8871-Escalão Logístico/2ªRM	Distribuição de Material	15 mai.	-62	Maj Filipe	RESOLVIDO	Cl II		Propor a distribuição de material Cl II por OMDS da Bda Inf Amv e remeter a proposta de distribuição para 2ª DE / 2ª RM.	-	4227-E-4/EMG/Cmdo Bda Inf Amv
596-S4/Pel Cmd /12ª Cia E Cmb Amv	emprego da força terrestre na copa do mundo de futebol feminino 2027 - resposta	15 mai.	-62	Ten Glauco	RESOLVIDO	PREPARO F TER		A 12ª Cia E Cmb encaminhou a planilha atualizada das Nec Recursose aquisições/mnt de MEM	-	DIEx aguardando assinatura do Ch EM 
3981-E-4/EMG/Cmdo Bda Inf Amv	Controle de validade material CL VIII - Saúde - Maio	15 mai.	-62	ST Richardson	RESOLVIDO	Cl VIII - Sau		1. Encaminhar resposta à 2ª RM	-	4405-E-4/EMG/Cmdo Bda Inf Amv
2331-E4/2ª DE	solicitação de Relatório de Desempenho de Material (RDM) – SMEM do Projeto COBRA	15 mai.	-62	Ten Glauco	RESOLVIDO	MEM		"1. Sol de RDM em versão editável. O 5º BI Amv deve encaminhar diretamente à 2ª DE em formato editável e em canal seguro
2. 5º BI respondeu com o DIEx 2091-S4/5º BIL"	5349-E-4/EMG/Cmdo Bda Inf Amv	4061-E-4/EMG/Cmdo Bda Inf Amv - sem arquivo editável
1511-E4/2ª DE	levantamento e orientações quanto ao recolhimento de materiais balísticos -orientações	15 mai.	-62	Cap Luis Augusto	ACOMPANHAR	Desfazimento		"1. Confeccioado Doc às OMDS
2. Sol prazo às OMDS para confeccão de PT e TEAM de materiais balísticos

3. Confeccionar DIEx para o Esc Sp
- Cia Cmdo - Documentação encaminhada à Base
- 5º BI Amv - encaminhou PT e TEAM à 2ª RM
- 12ª Cia Com - Capacetes e coletes já entregues no 2º B Sup
- 22º B Log - ainda em processo de PT e TEAM
- 1º Esqd não falou da situação de capacetes
- 6º BI Amv - Encaminhado Doc para a 2ª RM"	"3153-E-4/EMG/Cmdo Bda Inf Amv

5058-E-4/EMG/Cmdo Bda Inf Amv

5263-E-4/EMG/Cmdo Bda Inf Amv"	
1766-S4 /2º BE Cmb	Solicitação de apoio para balizamento	15 mai.	-62	Maj Filipe	ACOMPANHAR	-		1. possibilidade de disponibilizar um Grupo de Combate(Pel PE) dessa Organização Milita		
3155-Seç Repr/CMSE	solicitação de apoio de transporte do Of Gen Bda R/1 LAJOIA - Ger SISPRON	18 mai.	-59	Ten Glauco	RESOLVIDO	VISITAS		Apoiar o Gen Bda R/1 FLÁVIO DOS SANTOS LAJOIA GARCIA com transporte,conforme os horários, voos e itinerários durante a Certificação Construtiva da Bda Inf Amv. Contato do ST MARCELO ROCHA,da Ch Prep F Ter, telefone (61) 3415-7937 ou RITEx 860-7937.	-	DIEx excluído - Por determinação do Ch EM o apoio será realizado com Vtr Corolla e Mot do Cmt Bda (Ch Vtr com a Cia C)
7258-SRAM/EscSaúde/2ªRM	CENTRAL DE REGULAÇÃO REGIONAL - PACIENTE - DONIZETE APARECIDO FAUSTIN	18 mai.	-59	ST Valter	ACOMPANHAR	Trnp		1. Confeccionar Doc à Cia Cmdo, 6º BI e 5º BI para Coor o envio do mínimo de Vtr necessárias		3564-E-4/EMG/Cmdo Bda Inf Amv
2258-E4/2ª DE	implantação do Módulo Armamento no Sistema Logístico de Manutenção (Sis Log Mnt)	19 mai.	-58	ST Richardson	RESOLVIDO	Cl V		a Chefia de Material dará início à fase final do referido processo, que contempla a execuçãode conferências de cadastramentos ainda não realizados no aludido sistema	4558-E-4/EMG/Cmdo Bda Inf Amv	-
2253-E4/2ª DE	ajuste dos valores patrimoniais de itens com valores irrisórios	19 mai.	-58	Maj Filipe	RESOLVIDO	Orçamentário		1. Divulgar às OMDS	4478-E-4/EMG/Cmdo Bda Inf Amv	-
2219-E4/2ª DE	exposição de material para visita da delegação do Curso de Estado-Maior da Escola Superior de Guerra do México	19 mai.	-58	Ten Glauco	RESOLVIDO	MEM		À cargo da Cia Prec	4426-E-4/EMG/Cmdo Bda Inf Amv	-
2222-E4/2ª DE	CL IX Moto - critério para apuração do dano ao erário em sindicâncias envolvendo viaturas militares	19 mai.	-58	ST Valter	ACOMPANHAR	Cl IX		1. Divulgar às OMDS		
7262-SRAM/EscSaúde/2ªRM	CENTRAL DE REGULAÇÃO REGIONAL - PACIENTE - REGINA VERA MARQUES DEMENDONÇA	20 mai.	-57	ST Valter	RESOLVIDO	Trnp		1. Confeccionar Doc à Cia Cmdo, 6º BI e 5º BI para Coor o envio do mínimo de Vtr necessárias	3564-E-4/EMG/Cmdo Bda Inf Amv	-
10155-Div Armt/CMat/COLOG 	Div Armt - Estágio de Manutenção de 2º e 3º Escalão do Morteiro Médio 81 mm eMorteiro Pesado 120 mm. (resposta)	20 mai.	-57	ST Valter	RESOLVIDO	Mnt		1. Indicação do Sgt Leão para o referido estágio	-	991-3ª Seç Btl/22º B Log Amv
3022-Asse As Jurd/CMSE	isenção do pagamento da tarifa de pedágio nas rodovias concedidas à iniciativa privadano âmbito do Estado de São Paulo. PORTARIA ARTESP Nº 56, DE 29 DE MAIO DE 2025	20 mai.	-57	ST Valter	RESOLVIDO	Trnp		solicito informar a estimava de custos reais de tarifa de pedágio comrevogação da isenção e rodovias estaduais utilizadas	4637-E-4/EMG/Cmdo Bda Inf Amv	5045-E-4/EMG/Cmdo Bda Inf Amv
2273-E4/2ª DE	Classe II - distribuição e agendamento da apanha de capacetes balísticos do Kit Cobra(ACH) - ODT 300	20 mai.	-57	ST Valter	RESOLVIDO	Cl II		Encaminhar às OMDS a Sol de apanha dos capacetes coforme agendamento das OM	4570-E-4/EMG/Cmdo Bda Inf Amv	-
676-S/4/CMDO	Solicitação de complementação de cota de combustível - Op ARATU XI	20 mai.	-57	ST Richardson	RESOLVIDO	Cl III - Comb		Verificar a memória de cálculo para a ARATU da OM	-	-
 889-FAdm/SCmt/Cmt 2º BI AMV	complemento de cota de combustível - ÓLEO DIESEL - OPERACIONAL IIB - 2º BI Amv	20 mai.	-57	ST Richardson	RESOLVIDO	Cl III - Comb		"Verificar a posibilidade de fazer complemento de cota extra de OD operacional ao 2º BI Amv 

a. A OM Recebeu 270 L OD no DIEx 5341-E-4/EMG/Cmdo Bda Inf Amv
b. A OM Recebeu 900 L OD no DIEx 4568-E-4/EMG/Cmdo Bda Inf Amv"	-	"5341-E-4/EMG/Cmdo Bda Inf Amv

4568-E-4/EMG/Cmdo Bda Inf Amv"
1659-S4/EM/20º GAC Amv	solicitação de recurso para aquisição de viatura Adm para o Comandante.	20 mai.	-57	ST Valter	ACOMPANHAR	Cl IX		1. Sol para a 2ª DE e 2ª RM Vtr Adm para o Cmt 20º GAC Amv. 	5107-E-4/EMG/Cmdo Bda Inf Amv	
2045-E4/EM Geral/ChEM	empréstimo de MEM AAAe da 5ª Bia AAAe Amv	21 mai.	-56	Ten Glauco	PRAZO DE RESPOSTA	Cl V		autorizar o empréstimo de 1 (um) Radar SABER M60, pertencente à 5ª Bia AAAe Amv, para apoio às atividades do 2º GAAAe por ocasião da Operação 3LUAS coordenada pelo CAVEx.		
8708-S3 SEF/SEF/CC	solicitação de apoio de viatura e motorista	22 mai.	-55	ST Valter	RESOLVIDO	Trnp		"solicito ao 5º Batalhão de Infantaria Aeromóvel o apoio de 01ônibus de viagem de 42 lugares, com motorista, no período compreendido entre 22 a 25 de maio,

Verificar se a OM irá Ap a AMAN - Deu Ok"	-	1727-S4/5º BIL
9379-Escalão Logístico/2ªRM	ampliação de serviços na Plataforma Contrata+Brasil - retransmissão	22 mai.	-55	Ten Glauco	RESOLVIDO	Orçamentário		 solicito a possibilidade de mandar as OM vinculadas ampliarem o uso do Contrata Mais Brasil como ferramenta de contratação de serviços eaquisição de gêneros alimentícios da agricultura familiar, a fim de tornar a plataforma atraentepara os prestadores de serviços e agricultores familiares, visando o aumento da oferta deserviços e gêneros alimentícios.	4497-E-4/EMG/Cmdo Bda Inf Amv	-
2128-E4/2ª DE	classe I - divulgação de link de apoio do Contrata Mais Brasil - Aquisição de Alimentos da Agricultura Familiar	22 mai.	-55	Ten Glauco	RESOLVIDO	Cl I		a aquisição dealimentos da agricultura familiar deverá ser feita, obrigatoriamente, por meio da plataforma doContrata Mais Brasil, a partir de 1º de julho de 2026	4638-E-4/EMG/Cmdo Bda Inf Amv	-
2249-E4/2ª DE	abertura do sistema Oplog para pedido de suprimento Cl VIII - 01/2027 	22 mai.	-55	ST Richardson	RESOLVIDO	Cl VIII - Sau		Encaminhar às OMDS   	4613-E-4/EMG/Cmdo Bda Inf Amv	-
2135-E4/2ª DE	Solicitação de apoio e participação no Sábado Aéreo 2026 – 40 anos da Aviação do Exército - 2ªDE	22 mai.	-55	Ten Glauco	RESOLVIDO	MEM		" Participação das OMDS da Bda Inf Amv com exposição de material na atividade ""Sábado Aéreo 2026 – 40 anos da Aviação do Exército"", a ser realizada no dia 29 AGO 26 no CAVEx. Ctto Com Soc - Maj Curti  (16) 99786-4558. 

5ª Bia AAe Amv OK
12ª Cia Com Amv
5º BI Amv"	4295-E-4/EMG/Cmdo Bda Inf Amv	"4598-E-4/EMG/Cmdo Bda Inf Amv

4827-E-4/EMG/Cmdo Bda Inf Amv"
2271-E4/2ª DE	Processo de migração de itens do catálogo SIDMEx para o catálogo SIGELOG (2ª RM)	22 mai.	-55	Ten Glauco	RESOLVIDO	Orçamentário		"migração de itens do catálogo SIDMEx para o catálogo SIGELOG

- 5ª Bia AAAe Amv: Aguardando retorno da OM gestora - 4º BI Mec;
- 20º GAC: concluído com pendências;
- 5º BI Amv:concluído S/A;
- 1º Esqd C Amv: concluído com pendências;
- 12ª Cia Com Amv: concluído S/A;
- 6º BI Amv: concluído S/A."	4508-E-4/EMG/Cmdo Bda Inf Amv	"4625-Fisc Adm/Div Adm/Base Adm Amv

4700-E-4/EMG/Cmdo Bda Inf Amv

2538-E4/2ª DE"
1616-3ª Seção/DPGO	Descontinuidade do Sistema Gestão W e transferência de Contratos para o SistemaSIPEO - Bda de Infantaria Leve	22 mai.	-55	Ten Glauco	PRAZO DE RESPOSTA	Orçamentário		A Ba Adm deve dar a resposta		
8346-Escalão Logístico/2ªRM	Cl VI - transferência de material - rastreador satelital para navegação (GPS) individual (solicita)	22 mai.	-55	ST Valter	ACOMPANHAR	Cl VI		Solicitar o concorde, por escrito, das OM que passaráa receber o MEM Cl VI, bem como os Gpt E/RM a que estiverem subordinados, visandomaterializar a intenção de transferência do material		
3663-Fin/CCOp/Cmdo CMO	divulgação de IRP - Exc Cj Op PERSEU	22 mai.	-55	Maj Filipe	ACOMPANHAR	Orçamentário		"Sobre o assunto em tela, informo a essa GU/OM as datas das aberturas das Intenção deRegistro de Preços - (IRP), dos pregões que atenderão as demandas do Exercício ConjuntoPERSEU 2026

Locação deveículosespecializados
Locação deveículos
Aquisição deTIC CCO
Aquisição deMaterial Energético
Contratação deStarlink
Material ClasseVI 
Banheirosquímicos
Locação deequipamentosdiversos"	4506-E-4/EMG/Cmdo Bda Inf Amv	
533-Pel Mnt/Cia C Bda Inf Amv	Levantamento de voluntários para o Estágio de Adaptação de Motorista Militar.	22 mai.	-55	ST Valter	ACOMPANHAR	Trnp		Estágio de Adaptação de Motorista Militar, no período de 22 a 24 deabril de 2026		-
4099-E-3/EMG/Cmdo Bda Inf Amv	Apoio Logístico para delegação do IPCFEx	24 mai.	-53	Ten Glauco	RESOLVIDO	VISITAS		Solicitação de apoio logístico de transporte,alojamento e alimentação à equipe do IPCFEx - Cap Godinho e o 2º Sgt  Vinicius Simões aplicação do Teste Físico Operacional no âmbito da Bda Inf Amv, no período de 24 a 29 MAIO. Ctto do Cap Godinho (21) 97962-7446.	4229-E-4/EMG/Cmdo Bda Inf Amv	-
1552-S4/EM/20º GAC Amv	pedido de munição de salva para Formatura do Dia da Artilharia- 20º GAC Amv.	25 mai.	-52	ST Richardson	RESOLVIDO	Cl V		Pedido de 05 (cinco) munições de salva 105 mm, tendo em vista a realização da solenidadede comemoração do Dia da Artilharia no âmbito do C Mil A, evento que será realizado no dia 10JUN 26,  pelo 20º GAC Amv.	4294-E-4/EMG/Cmdo Bda Inf Amv	"4207-E-4/EMG/Cmdo Bda Inf Amv

8980-Escalão Logístico/2ªRM (Não há Mun salva)"
2213-E4/2ª DE	 Coordenações logísticas Exc Cj PERSEU 2026 no âmbito da 2ª DE/ CMSE(Videoconferência)	25 mai.	-52	Maj Filipe	RESOLVIDO	PREPARO F TER		" preenchimentos com os dados dos meiosenvolvidos no deslocamento a ser realizado por cada fraçã

VC Sobre a PERSEU com as OMDS"	4605-E-4/EMG/Cmdo Bda Inf Amv	-
908-COL/22º B Log Amv	Calendário de Capacitações na Função Logística Manutenção para 2026	25 mai.	-52	ST Valter	RESOLVIDO	Mnt		Capacitação Mnt Armt L	-	-
2052-Sec Sis e Log do COp/COP/CCOMGEX	Necessidades Mat CL VII	25 mai.	-52	ST Richardson	RESOLVIDO	Cl VII		 Realizar gestões  a fim de viabilizar a descentralização de R$ 3.960.000,00 na ND 52 - de acordo com a cotação atualizada para esta data, em favor da B Adm Ap/CCOMGEX, acompanhado da documentação descritiva do materiala ser adquirido e da lista das OM de destino.	-	4055-E-6/EMG/Cmdo Bda Inf Amv
2334-E10/2ª DE	controle de vencimento de materiais e conformidade no SISCOFIS	25 mai.	-52	Maj Filipe	RESOLVIDO	Patrimônio		Para conhecimento das OMDS	4714-E-4/EMG/Cmdo Bda Inf Amv	-
-	Ap de 1 Vtr Ambulância para o C Art da AMAN 	25 mai.	-52	ST Valter	RESOLVIDO	Trnp		Ap de 1 Vtr Ambulância para o C Art da AMAN 	4496-E-4/EMG/Cmdo Bda Inf Amv	4495-E-4/EMG/Cmdo Bda Inf Amv
2213-E4/2ª DE	VC Sobre a Op PERSEU no âmbito da Bda Inf Amv	25 mai.	-52	Maj Filipe	RESOLVIDO	PREPARO F TER		Ret/Rat do Plj Log	-	-
222-E-3/EMG/Cmdo Bda Inf Amv	Participação da Bda Inf na Op GUIA 2026 	25 mai.	-52	Maj Filipe	RESOLVIDO	O Sv		"Coordenar as necessidades logística à realização da preparação e execução do exercício
 - Deslocamento e concentração: até 24 MAIO 26:
 - Execução: 25 a 29 MAIO 26. 
 - Efetivo participante da Bda Inf Amv: Pel Rec do 6º BI Amv"	-	-
293-COL/22º B Log Am	Ordem de Operações e Cronograma da Inspeção Técnica e Apoio Direto - 2026	25 mai.	-52	ST Valter	EVENTO	Mnt		- Ap Dto 22º B Log Amv ao 2º BI Amv		-
983-S/4 /SCmt/Cmt 2º BI AMV	remessa de solução de sindicância (extravio de MEM CL V)	25 mai.	-52	ST Richardson	ACOMPANHAR	Cl V		Verificar se o 22º B Log Amv possui os 2 obturadores de cilindro de gases para reposição ao 2º Bi Amv. Confeccionar DIEx		
1623-S4/EM/20º GAC Amv	Solicitação de tabela de valores de peças e componentes de armamento	25 mai.	-52	ST Richardson	ACOMPANHAR	Cl V		"1. Verificar com o 22º B Log Amv a situação de problemas na Mnt IA2, tendo em vista o recente recebimento de peças diretamente da IMBEL
2. Verificar se o B Log pode responder ao questionamento do 20º GAC"		
685-S/4/CMDO	Pedido de Fz IA2 - Recompletamento. - RATIFICAÇÃO	25 mai.	-52	ST Richardson	ACOMPANHAR	Cl V		"1. Verificar se há Fz IA2 para remanejar dentro da Bda.
2. Caso negativo, Sol ao Esc Sp a quantidade necessária para a OM"		
668-FA/CMDO	solicitação de gestões de saldo alongado em conta de bens móveis inservíveis -12311.08.05 (1º Esq C L - 160338)	25 mai.	-52	ST Valter	ACOMPANHAR	Patrimônio		"1. Verificar com a OM qual é o material que precisa ser descarregado e fazer contato com a 2ª RM para resolver a pendência.
2. Confeccioar DIEx para a 2ª RM ou 1ª RM Sol a homologação da descarga"		
4664-E-4/EMG/Cmdo Bda Inf Amv	Solicitação de peças de reposição para Metralhadora 5,56mm MINIMI	25 mai.	-52	ST Valter	ACOMPANHAR	Mnt	11 jun.	"1. necessidade de troca de 02 (dois) conjuntos do ferrolho completoda Metralhadora  MINIMI 5,56 mm, incluindo o respectivo percutor.

2. 1143-COL/22º B Log Amv - 22º B Log não possui o material. Verificou com o BMSA e AGSP que tb não tem. Está vendo com a C Mat 

3. Confeccionar DIEx para C Mat Sol o material"	-	
625-S4/Pel Cmd /12ª Cia E Cmb Amv	insumos de calibre descontinuado nesta organização militar	25 mai.	-52	ST Richardson	ACOMPANHAR	Cl V		"1. Verificar com todas as OMDS sobre Mun 7,62 que estão em estoque e não serão mais utilizadas.
2. Após a resposta das OMDS Rlz o remanejamento interno ou solicitar que as Mun sejam remanejadas para outras OM da 2ª DE "		
2295-E4/2ª DE	distribuição de munição pesada e específica - 2ª DE 2026	25 mai.	-52	ST Richardson	ACOMPANHAR	Cl V		munição pesada eespecífica para 2026, a ser distribuída para as OM	4616-E-4/EMG/Cmdo Bda Inf Amv	-
683-3ª Seção/12ª Cia Com Amv	pedido de apoio de ambulância (SOLICITA)	26 mai.	-51	ST Valter	RESOLVIDO	Cl IX		 solicito a possibilidade de cautela de uma viatura ambulância para o dia 26 MAI 26, das 07h30 às 12h00, para apoio de saúde por ocasião do tiro dos motoristas recémhabilitados motorista militar e tiro da ForPron da 12ª Companhia de Comunicações Aeromóvel.	-	-
